A_0	a_m a_m
DONG_3	du u_l ng_l
DONG_4	du u_h ng_l
DOU_0	d o_m u_m
DOU_1	d o_h u_h
DOU_2	d o_l u_h
DOU_3	d o_l u_l
DOU_4	d o_h u_l
DU_0	du u_m u_m
DU_1	du u_h u_h
DU_2	du u_l u_h
DU_3	du u_l u_l
DU_4	du u_h u_l
DUAN_0	du a_m nn_m
DUAN_1	du a_h nn_h
DUAN_2	du a_l nn_h
DUAN_3	du a_l nn_l
DUAN_4	du a_h nn_l
DUI_0	du eh_m i_m
DUI_1	du eh_h i_h
DUI_2	du eh_l i_h
DUI_3	du eh_l i_l
DUI_4	du eh_h i_l
DUN_0	du el_m nn_m
DUN_1	du el_h nn_h
DUN_2	du el_l nn_h
DUN_3	du el_l nn_l
DUN_4	du el_h nn_l
DUO_0	du o_m o_m
DUO_1	du o_h o_h
DUO_2	du o_l o_h
DUO_3	du o_l o_l
DUO_4	du o_h o_l
E_0	el_m el_m
E_1	el_h el_h
E_2	el_l el_h
E_3	el_l el_l
E_4	el_h el_l
EI_0	eh_m i_m
EI_1	eh_h i_h
EI_2	eh_l i_h
EI_3	eh_l i_l
EI_4	eh_h i_l
EN_0	el_m nn_m
EN_1	el_h nn_h
EN_2	el_l nn_h
EN_3	el_l nn_l
EN_4	el_h nn_l
ER_0	er_m er_m
ER_1	er_h er_h
ER_2	er_l er_h
ER_3	er_l er_l
ER_4	er_h er_l
FA_0	f a_m a_m
FA_1	f a_h a_h
FA_2	f a_l a_h
FA_3	f a_l a_l
FA_4	f a_h a_l
FAN_0	f a_m nn_m
FAN_1	f a_h nn_h
FAN_2	f a_l nn_h
FAN_3	f a_l nn_l
FAN_4	f a_h nn_l
FANG_0	f aa_m ng_m
FANG_1	f aa_h ng_h
FANG_2	f aa_l ng_h
FANG_3	f aa_l ng_l
FANG_4	f aa_h ng_l
FEI_0	f eh_m i_m
FEI_1	f eh_h i_h
FEI_2	f eh_l i_h
FEI_3	f eh_l i_l
FEI_4	f eh_h i_l
FEN_0	f el_m nn_m
FEN_1	f el_h nn_h
FEN_2	f el_l nn_h
FEN_3	f el_l nn_l
FEN_4	f el_h nn_l
FENG_0	f el_m ng_m
FENG_1	f el_h ng_h
FENG_2	f el_l ng_h
FENG_3	f el_l ng_l
FENG_4	f el_h ng_l
FO_0	fu o_m o_m
FO_1	fu o_h o_h
FO_2	fu o_l o_h
FO_3	fu o_l o_l
FO_4	fu o_h o_l
FOU_0	f o_m u_m
FOU_1	f o_h u_h
FOU_2	f o_l u_h
FOU_3	f o_l u_l
FOU_4	f o_h u_l
FU_0	fu u_m u_m
FU_1	fu u_h u_h
FU_2	fu u_l u_h
FU_3	fu u_l u_l
FU_4	fu u_h u_l
GA_0	g a_m a_m
GA_1	g a_h a_h
GA_2	g a_l a_h
GA_3	g a_l a_l
