A_0	a_m a_m
YOU_4	yi o_h u_l
YU_0	yv v_m v_m
YU_1	yv v_h v_h
YU_2	yv v_l v_h
YU_3	yv v_l v_l
YU_4	yv v_h v_l
YUAN_0	yv a_m nn_m
YUAN_1	yv a_h nn_h
YUAN_2	yv a_l nn_h
YUAN_3	yv a_l nn_l
YUAN_4	yv a_h nn_l
YUE_0	yv eh_m eh_m
YUE_1	yv eh_h eh_h
YUE_2	yv eh_l eh_h
YUE_3	yv eh_l eh_l
YUE_4	yv eh_h eh_l
YUN_0	yv el_m nn_m
YUN_1	yv el_h nn_h
YUN_2	yv el_l nn_h
YUN_3	yv el_l nn_l
YUN_4	yv el_h nn_l
ZA_0	z a_m a_m
ZA_1	z a_h a_h
ZA_2	z a_l a_h
ZA_3	z a_l a_l
ZA_4	z a_h a_l
ZAI_0	z a_m eh_m
ZAI_1	z a_h eh_h
ZAI_2	z a_l eh_h
ZAI_3	z a_l eh_l
ZAI_4	z a_h eh_l
ZAN_0	z a_m nn_m
ZAN_1	z a_h nn_h
ZAN_2	z a_l nn_h
ZAN_3	z a_l nn_l
ZAN_4	z a_h nn_l
ZANG_0	z aa_m ng_m
ZANG_1	z aa_h ng_h
ZANG_2	z aa_l ng_h
ZANG_3	z aa_l ng_l
ZANG_4	z aa_h ng_l
ZAO_0	z aa_m o_m
ZAO_1	z aa_h o_h
ZAO_2	z aa_l o_h
ZAO_3	z aa_l o_l
ZAO_4	z aa_h o_l
ZE_0	z el_m el_m
ZE_1	z el_h el_h
ZE_2	z el_l el_h
ZE_3	z el_l el_l
ZE_4	z el_h el_l
ZEI_0	z eh_m i_m
ZEI_1	z eh_h i_h
ZEI_2	z eh_l i_h
ZEI_3	z eh_l i_l
ZEI_4	z eh_h i_l
ZEN_0	z el_m nn_m
ZEN_1	z el_h nn_h
ZEN_2	z el_l nn_h
ZEN_3	z el_l nn_l
ZEN_4	z el_h nn_l
ZENG_0	z el_m ng_m
ZENG_1	z el_h ng_h
ZENG_2	z el_l ng_h
ZENG_3	z el_l ng_l
ZENG_4	z el_h ng_l
ZHA_0	zh a_m a_m
ZHA_1	zh a_h a_h
ZHA_2	zh a_l a_h
ZHA_3	zh a_l a_l
ZHA_4	zh a_h a_l
ZHAI_0	zh a_m eh_m
ZHAI_1	zh a_h eh_h
ZHAI_2	zh a_l eh_h
ZHAI_3	zh a_l eh_l
ZHAI_4	zh a_h eh_l
ZHAN_0	zh a_m nn_m
ZHAN_1	zh a_h nn_h
ZHAN_2	zh a_l nn_h
ZHAN_3	zh a_l nn_l
ZHAN_4	zh a_h nn_l
ZHANG_0	zh aa_m ng_m
ZHANG_1	zh aa_h ng_h
ZHANG_2	zh aa_l ng_h
ZHANG_3	zh aa_l ng_l
ZHANG_4	zh aa_h ng_l
ZHAO_0	zh aa_m o_m
ZHAO_1	zh aa_h o_h
ZHAO_2	zh aa_l o_h
ZHAO_3	zh aa_l o_l
ZHAO_4	zh aa_h o_l
ZHE_0	zh el_m el_m
ZHE_1	zh el_h el_h
ZHE_2	zh el_l el_h
ZHE_3	zh el_l el_l
ZHE_4	zh el_h el_l
ZHEI_0	zh eh_m i_m
ZHEI_1	zh eh_h i_h
ZHEI_2	zh eh_l i_h
ZHEI_3	zh eh_l i_l
ZHEI_4	zh eh_h i_l
ZHEN_0	zh el_m nn_m
ZHEN_1	zh el_h nn_h
ZHEN_2	zh el_l nn_h
ZHEN_3	zh el_l nn_l
ZHEN_4	zh el_h nn_l
ZHENG_0	zh el_m ng_m
ZHENG_1	zh el_h ng_h
ZHENG_2	zh el_l ng_h
ZHENG_3	zh el_l ng_l
ZHENG_4	zh el_h ng_l
ZHI_0	zh ib_m ib_m
ZHI_1	zh ib_h ib_h
ZHI_2	zh ib_l ib_h
ZHI_3	zh ib_l ib_l
ZHI_4	zh ib_h ib_l
ZHONG_0	zhu u_m ng_m
ZHONG_1	zhu u_h ng_h
ZHONG_2	zhu u_l ng_h
ZHONG_3	zhu u_l ng_l
ZHONG_4	zhu u_h ng_l
ZHOU_0	zh o_m u_m
ZHOU_1	zh o_h u_h
ZHOU_2	zh o_l u_h
ZHOU_3	zh o_l u_l
ZHOU_4	zh o_h u_l
ZHU_0	zhu u_m u_m
ZHU_1	zhu u_h u_h
ZHU_2	zhu u_l u_h
ZHU_3	zhu u_l u_l
ZHU_4	zhu u_h u_l
ZHUA_0	zhu a_m a_m
ZHUA_1	zhu a_h a_h
ZHUA_2	zhu a_l a_h
ZHUA_3	zhu a_l a_l
ZHUA_4	zhu a_h a_l
ZHUAI_0	zhu a_m eh_m
ZHUAI_1	zhu a_h eh_h
ZHUAI_2	zhu a_l eh_h
ZHUAI_3	zhu a_l eh_l
ZHUAI_4	zhu a_h eh_l
ZHUAN_0	zhu a_m nn_m
ZHUAN_1	zhu a_h nn_h
ZHUAN_2	zhu a_l nn_h
ZHUAN_3	zhu a_l nn_l
ZHUAN_4	zhu a_h nn_l
ZHUANG_0	zhu aa_m ng_m
ZHUANG_1	zhu aa_h ng_h
ZHUANG_2	zhu aa_l ng_h
ZHUANG_3	zhu aa_l ng_l
ZHUANG_4	zhu aa_h ng_l
ZHUI_0	zhu eh_m i_m
ZHUI_1	zhu eh_h i_h
ZHUI_2	zhu eh_l i_h
ZHUI_3	zhu eh_l i_l
ZHUI_4	zhu eh_h i_l
ZHUN_0	zhu el_m nn_m
ZHUN_1	zhu el_h nn_h
ZHUN_2	zhu el_l nn_h
ZHUN_3	zhu el_l nn_l
ZHUN_4	zhu el_h nn_l
ZHUO_0	zhu o_m o_m
ZHUO_1	zhu o_h o_h
ZHUO_2	zhu o_l o_h
ZHUO_3	zhu o_l o_l
ZHUO_4	zhu o_h o_l
ZI_0	z if_m if_m
ZI_1	z if_h if_h
ZI_2	z if_l if_h
ZI_3	z if_l if_l
ZI_4	z if_h if_l
ZONG_0	zu u_m ng_m
ZONG_1	zu u_h ng_h
ZONG_2	zu u_l ng_h
ZONG_3	zu u_l ng_l
ZONG_4	zu u_h ng_l
ZOU_0	z o_m u_m
ZOU_1	z o_h u_h
ZOU_2	z o_l u_h
ZOU_3	z o_l u_l
ZOU_4	z o_h u_l
ZU_0	zu u_m u_m
ZU_1	zu u_h u_h
ZU_2	zu u_l u_h
ZU_3	zu u_l u_l
ZU_4	zu u_h u_l
ZUAN_0	zu a_m nn_m
ZUAN_1	zu a_h nn_h
ZUAN_2	zu a_l nn_h
ZUAN_3	zu a_l nn_l
ZUAN_4	zu a_h nn_l
ZUI_0	zu eh_m i_m
ZUI_1	zu eh_h i_h
ZUI_2	zu eh_l i_h
ZUI_3	zu eh_l i_l
ZUI_4	zu eh_h i_l
ZUN_0	zu el_m nn_m
ZUN_1	zu el_h nn_h
ZUN_2	zu el_l nn_h
ZUN_3	zu el_l nn_l
ZUN_4	zu el_h nn_l
ZUO_0	zu o_m o_m
ZUO_1	zu o_h o_h
ZUO_2	zu o_l o_h
ZUO_3	zu o_l o_l
ZUO_4	zu o_h o_l
