倦	JUAN_4
倧	ZONG_1
倨	JU_4
倩	QIAN_4
倪	NI_2
倬	ZHUO_1
倭	WO_1
倮	LUO_3
倯	SONG_1
倰	LING_2
倱	HUN_4
倲	DONG_4
倳	ZI_4
倴	BEN_4
倵	WU_3
倶	JU_4
倷	NAI_3
倸	CAI_3
倹	JIAN_3
债	ZHAI_4
倻	YE_1
值	ZHI_2
倽	SHA_4
倾	QING_1
倿	NING_4
偀	YING_1
偁	CHENG_1
偂	QIAN_2
偃	YAN_3
偄	RUAN_3
偅	ZHONG_4
偆	CHUN_3
假	JIA_4;JIA_3
偈	JIE_2;JI_4
偊	YU_3
偋	BING_4
偌	RUO_4
偍	TI_2
偎	WEI_1
偏	PIAN_1
偐	YAN_4
偑	FENG_1
偒	TANG_3
偓	WO_4
偔	E_4
偕	XIE_2
偖	CHE_3
偗	SHENG_3
偘	KAN_3
偙	DI_4
做	ZUO_4
偛	CHA_1
停	TING_2
偝	BEI_4
偞	YE_4
偟	HUANG_2
偠	YAO_3
偡	ZHAN_4
偢	CHOU_3;QIAO_4
偣	YAN_1
偤	YOU_2
健	JIAN_4
偦	XU_3
偧	ZHA_1
偨	CI_1
偩	FU_4
偫	ZHI_4
偬	ZONG_3
偭	MIAN_3
偮	JI_2
偯	YI_3
偰	XIE_4
偱	XUN_2
偲	CAI_1;SI_1
偳	DUAN_1
偶	OU_3
偷	TOU_1
偸	TOU_1
偹	BEI_4
偻	LOU_2;LV_3
偼	JIE_2
偾	FEN_4
偿	CHANG_2
傀	GUI_1;KUI_3
傁	SOU_3
傂	ZHI_4
傃	SU_4
傄	XIA_1
傅	FU_4;FU_0
傆	YUAN_4
傇	RONG_3
傈	LI_4
傉	NU_4
傊	YUN_4
傋	JIANG_3
傍	BANG_4
傎	DIAN_1
傏	TANG_2
傐	HAO_4
傒	XI_1;XI_4
傓	SHAN_4
傔	QIAN_4
傕	QUE_4
傗	CHU_4
傛	YONG_3
傜	YAO_2
傝	TAN_4
傞	SUO_1
傟	YANG_3
傠	FA_2
傡	BING_4
傣	DAI_3
傤	ZAI_4
傥	TANG_3
傦	GU_3
傧	BIN_1
储	CHU_3
傩	NUO_2
傪	SAN_3
傫	LEI_3
催	CUI_1
傮	ZAO_1
傰	BENG_1
傱	SHUANG_3
傲	AO_4
傶	ZU_2
傸	CHUANG_3
傹	JING_4
傺	CHI_4
傻	SHA_3
傼	HAN_4
傽	ZHANG_1
傿	YAN_4
僀	DI_4
僁	XIE_4
僃	BEI_4
僄	PIAO_4
僆	LIAN_4
僈	MAN_4
僋	TAN_4
僌	YING_2
働	DONG_4
僎	ZHUAN_4
像	XIANG_4
僐	SHAN_4
僒	JIONG_3
僓	TUI_3
僔	ZUN_3
僖	XI_1
僗	LAO_4
僘	CHANG_3
僙	GUANG_1
僚	LIAO_2
僛	QI_1
僜	TENG_2
僝	CHAN_2;ZHUAN_4
僞	WEI_3
僟	JI_1
僠	BO_1
僡	HUI_4
僢	CHUN_3
僣	TIE_3
僤	DAN_4
僦	JIU_4
僧	SENG_1
僩	XIAN_4
僪	YU_4
僫	E_4
僬	JIAO_1
僭	JIAN_4
僮	TONG_2;ZHUANG_4
僯	LIN_4
僰	BO_2
僲	XIAN_1
僳	SU_4
僴	XIAN_4
僵	JIANG_1
僶	MIN_3
僷	YE_4
僸	JIN_4
僺	QIAO_4
僻	PI_4
僼	FENG_1
僽	ZHOU_4
僾	AI_4
僿	SAI_4
儁	JUN_4
儃	SHAN_4
儆	JING_3
儇	XUAN_1
儊	CHU_4
儋	DAN_1
儍	SHA_3
儎	ZAI_4
儏	CAN_4
儑	AN_4
儒	RU_2
儓	TAI_4
儖	LAN_2
儙	QIAN_4
儚	MENG_2
儛	WU_3
儜	NING_2
儝	QIONG_2
儞	NI_3
儠	LIE_4
儡	LEI_3
儢	LV_3
儣	KUANG_3
儤	BAO_4
儥	YU_4
儦	BIAO_1
儧	ZAN_3
儨	ZHI_4
儩	SI_4
儫	HAO_2
儬	QING_4
儭	CHEN_4
儮	LI_4
儯	TENG_2
儰	WEI_3
儱	LONG_4
儳	CHAN_4;CHAN_2
儴	XIANG_1
儵	SHU_1;TIAO_2
儶	XIE_2
儽	LUO_3
儾	NANG_4
儿	ER_2;ER_0
兀	WU_1;WU_4
允	YUN_3
兂	ZAN_1
元	YUAN_2
兄	XIONG_1
充	CHONG_1
兆	ZHAO_4
先	XIAN_1
光	GUANG_1
兊	DUI_4
克	KE_4
免	MIAN_3
兎	TU_4
兏	CHANG_2
児	NI_2
兑	DUI_4;DUI_0
兓	JIN_1
兔	TU_4
兕	SI_4
兖	YAN_3
兘	SHI_3
兙	KE_4
党	DANG_3
兛	KE_4
兜	DOU_1
兝	FEN_1
兞	KE_4
兟	SHEN_1
兠	DOU_1
兡	KE_4
兢	JING_1
兣	GONG_1
兤	HUANG_3
入	RU_4
兦	WU_2
全	QUAN_2
兪	YU_2
八	BA_1;BA_2;BA_0
公	GONG_1;GONG_0
六	LIU_4;LU_4
兮	XI_1
兯	JIE_2
兰	LAN_2
共	GONG_1;GONG_4
兲	TIAN_1
关	GUAN_1
兴	XING_1;XING_4;XING_0
兵	BING_1
其	JI_1;QI_2
具	JU_4
典	DIAN_3
兹	CI_2;ZI_1
养	YANG_3
兼	JIAN_1
兽	SHOU_4
兾	JI_4
兿	YI_4
冀	JI_4
冁	CHAN_3
冂	TONG_2
冃	MAO_4
冄	RAN_3
内	NEI_4
円	YUAN_2
冇	MAO_3
冈	GANG_1
冉	RAN_3
冋	JIONG_3
册	CE_4
再	ZAI_4
冎	GUA_3
冏	JIONG_1;JIONG_3
冐	MO_4
冒	MAO_4;MO_4
冓	GOU_4
冔	XU_3
冕	MIAN_3
冖	MI_4;PING_2;TU_1
冗	RONG_3
冘	YOU_2
写	XIE_4;XIE_3
冚	KAN_3
军	JUN_1
农	NONG_2
冝	YI_2
冞	MI_2
冟	SHI_4
冠	GUAN_1;GUAN_4;GUAN_0
冡	MENG_2
冢	ZHONG_3
冣	JU_4
冤	YUAN_1
冥	MING_2
冦	KOU_4
冧	LIN_2
冨	FU_4
冩	XIE_4
冫	BING_1;LIANG_3
冬	DONG_1
冭	TAI_4
冮	GANG_1
冯	FENG_2;PING_2
冰	BING_1
冱	HU_4
冲	CHONG_1;CHONG_4
决	JUE_2
冴	HU_4
况	KUANG_4
冶	YE_3
冷	LENG_3
冸	PAN_4
冹	FU_2
冺	MIN_3
冻	DONG_4
冼	XIAN_3
冽	LIE_4
冾	QIA_4
冿	JIAN_1
净	JING_4
凁	SOU_1
凂	MEI_3
凃	TU_2
凄	QI_1
凅	GU_4
准	ZHUN_3
凇	SONG_1
凊	QING_4
凋	DIAO_1
凌	LING_1;LING_2
凎	GAN_4
减	JIAN_3
凐	YIN_1
凑	COU_4
凒	AI_2
凓	LI_4
凔	CANG_1
凕	MING_3
凖	ZHUN_3
凗	CUI_1
凘	SI_1
凙	DUO_2
凚	JIN_4
凛	LIN_3
凝	NING_2
凞	XI_1
凟	DU_2
几	JI_1;JI_3
凡	FAN_2
凢	FAN_2
凣	FAN_2
凤	FENG_4
凥	JU_1
処	CHU_3
